Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
S3Mock,com.adobe.testing.s3mock.dto,CopySource,extractBucketAndKeyArray,Magic Number,The method contains a magic number: 2,59
S3Mock,com.adobe.testing.s3mock.dto,CopySource,extractBucketAndKeyArray,Magic Number,The method contains a magic number: 2,59
S3Mock,com.adobe.testing.s3mock.dto,ListBucketResult,ListBucketResult,Long Parameter List,The method has 9 parameters. ,66
S3Mock,com.adobe.testing.s3mock.dto,ListBucketResultV2,ListBucketResultV2,Long Parameter List,The method has 11 parameters. ,72
S3Mock,com.adobe.testing.s3mock.dto,ListMultipartUploadsResult,ListMultipartUploadsResult,Long Parameter List,The method has 11 parameters. ,57
S3Mock,com.adobe.testing.s3mock.dto,MultipartUpload,MultipartUpload,Long Parameter List,The method has 5 parameters. ,43
S3Mock,com.adobe.testing.s3mock.dto,Part,equals,Long Statement,The length of the statement "return Objects.equals(partNumber`part.partNumber) && Objects.equals(lastModified`part.lastModified) && Objects.equals(etag`part.etag)&& Objects.equals(size`part.size);" is 167.,53
S3Mock,com.adobe.testing.s3mock.dto,Range,Range,Long Statement,The length of the statement "range=new Range(rangeStart == null ? 0L : Long.parseLong(rangeStart)`(StringUtils.isEmpty(rangeEnd) ? Long.MAX_VALUE : Long.parseLong(rangeEnd)));" is 146.,39
S3Mock,com.adobe.testing.s3mock.dto,Range,Range,Magic Number,The method contains a magic number: 2,39
S3Mock,com.adobe.testing.s3mock.dto,Range,Range,Magic Number,The method contains a magic number: 3,39
S3Mock,com.adobe.testing.s3mock.dto,Range,Range,Magic Number,The method contains a magic number: 5,39
S3Mock,com.adobe.testing.s3mock.dto,Range,Range,Magic Number,The method contains a magic number: 4,39
S3Mock,com.adobe.testing.s3mock.dto,S3Object,S3Object,Long Parameter List,The method has 6 parameters. ,51
S3Mock,com.adobe.testing.s3mock.dto,BatchDeleteRequestTest,testDeserialization,Magic Number,The method contains a magic number: 2,28
S3Mock,com.adobe.testing.s3mock.dto,BatchDeleteResponseTest,testSerialization,Magic Number,The method contains a magic number: 2,26
S3Mock,com.adobe.testing.s3mock.dto,CopyPartResultTest,testSerialization,Magic Number,The method contains a magic number: 1514477008120L,29
S3Mock,com.adobe.testing.s3mock.dto,ListAllMyBucketsResultTest,testSerialization,Magic Number,The method contains a magic number: 10L,30
S3Mock,com.adobe.testing.s3mock.dto,ListAllMyBucketsResultTest,testSerialization,Magic Number,The method contains a magic number: 2,30
S3Mock,com.adobe.testing.s3mock.dto,ListBucketResultTest,testSerialization,Long Statement,The length of the statement "ListBucketResult iut=new ListBucketResult("bucketName"`"prefix/"`"marker"`1000`false`"url"`"nextMarker"`createBucketContents(2)`Arrays.asList("prefix1/"`"prefix2/"));" is 166.,30
S3Mock,com.adobe.testing.s3mock.dto,ListBucketResultTest,testSerialization,Magic Number,The method contains a magic number: 1000,30
S3Mock,com.adobe.testing.s3mock.dto,ListBucketResultTest,testSerialization,Magic Number,The method contains a magic number: 2,30
S3Mock,com.adobe.testing.s3mock.dto,ListBucketResultTest,createBucketContents,Long Statement,The length of the statement "S3Object s3Object=new S3Object("key" + i`"2009-10-12T17:50:30.000Z"`"fba9dede5f27731c9771645a39863328"`"434234"`StorageClass.STANDARD`new Owner(10L + i`"displayName"));" is 168.,39
S3Mock,com.adobe.testing.s3mock.dto,ListBucketResultTest,createBucketContents,Magic Number,The method contains a magic number: 10L,39
